drug_a,drug_b,cell_line,synergy
Vorinostat,Venetoclax,MDA-MB-361,0
Navitoclax,Afatinib,SW48,1
Pictilisib,SB216763,MDA-MB-231,0
Palbociclib,Crizotinib,BT-20,0
Docetaxel,Pictilisib,HCC1599,0
Palbociclib,Navitoclax,MIA-PaCa-2,0
Crizotinib,Temozolomide,AU565,0
AZD7762,AZD8055,BT-483,0
Lapatinib,Navitoclax,BT-483,0
Navitoclax,AZD8055,HCC2998,1
Temozolomide,Lapatinib,UACC-893,0
PD173074,Sorafenib,HCC1395,0
Lapatinib,Galunisertib,HuP-T4,0
AZD7762,BI-2536,CAL-120,0
AZD7762,Nilotinib,UACC-893,0
Galunisertib,Irinotecan,PANC-03-27,0
Galunisertib,Erlotinib,PANC-03-27,0
OSI-027,AZD8055,UACC-893,0
Olaparib,MK-1775,MDA-MB-453,0
Bortezomib,OSI-027,MCF7,0
Sapitinib,AZD8055,HCC1500,0
PD173074,Tozasertib,Hs-578-T,0
SB216763,Olaparib,SW1463,0
MK-1775,AZD8055,Hs-578-T,0
Taselisib,SB216763,HCC1937,0
Crizotinib,Olaparib,HCC70,0
Crizotinib,Uprosertib,CAL-148,0
Pictilisib,Palbociclib,HDQ-P1,0
Temozolomide,Sapitinib,BT-549,0
MK-1775,Trametinib,HCC2218,0
MK-1775,LGK974,NCI-H716,0
Irinotecan,Navitoclax,PA-TU-8988T,1
MK-1775,SB216763,BT-474,0
Sapitinib,Uprosertib,HCC1954,1
AZD7762,NU7441,MDA-MB-231,0
LGK974,Erlotinib,CAPAN-2,0
MK-1775,Pictilisib,MDA-MB-330,0
Erlotinib,Dasatinib,SUIT-2,1
Taselisib,MK-1775,DAN-G,0
Palbociclib,Navitoclax,KP-4,0
MK-1775,SB216763,SW1463,0
Navitoclax,Palbociclib,SK-CO-1,0
MK-1775,Olaparib,BT-20,0
Sapitinib,Trametinib,SNU-81,0
Paclitaxel,Dasatinib,YAPC,0
Crizotinib,Olaparib,KP-3,0
Lapatinib,Pictilisib,HCC70,0
Taselisib,Nilotinib,HCC1954,0
Trametinib,Dactolisib,PANC-02-03,0
OSI-027,Sorafenib,BxPC-3,0
Trametinib,Palbociclib,BT-549,0
Temozolomide,Dabrafenib,JIMT-1,0
Galunisertib,Lapatinib,HuP-T3,0
AZD7762,Lapatinib,HCC1500,0
PD173074,MK-1775,HCC2218,0
Sorafenib,MK-1775,HuP-T4,0
OSI-027,AZD7762,JIMT-1,0
Sapitinib,Tozasertib,HCC38,0
Taselisib,SB216763,GP5d,0
Temozolomide,Dabrafenib,Hs-578-T,0
Taselisib,Navitoclax,HCC2218,1
Vorinostat,Afatinib,CAL-51,1
AZD4547,Palbociclib,C2BBe1,0
Dabrafenib,SB216763,LS-123,0
Bortezomib,PF-4708671,CAL-148,0
AZD4547,Navitoclax,CaR-1,0
Camptothecin,AZD4547,CL-11,0
Dabrafenib,LGK974,DiFi,0
Docetaxel,Taselisib,BT-483,0
Palbociclib,OSI-027,OCUB-M,0
Lapatinib,AZD7762,BxPC-3,0
PD173074,Docetaxel,HCC1954,0
Navitoclax,Nilotinib,CAL-85-1,0
PD173074,Nilotinib,UACC-893,0
Docetaxel,Palbociclib,JIMT-1,0
OSI-027,Bortezomib,MRK-nu-1,0
Trametinib,Dasatinib,AsPC-1,0
Irinotecan,MK-1775,MZ1-PC,0
Sapitinib,Paclitaxel,HCC1806,0
Sapitinib,Uprosertib,MDA-MB-468,1
Bortezomib,Sapitinib,MDA-MB-453,0
AZD4547,SB505124,NCI-H747,0
Olaparib,Trametinib,CAL-85-1,0
Palbociclib,Camptothecin,COLO-205,0
AZD7762,Galunisertib,SW1990,0
Pictilisib,Trametinib,DU-4475,0
Pictilisib,Bortezomib,MCF7,0
Crizotinib,MK-1775,HCC38,0
Vorinostat,Trametinib,MDA-MB-157,0
AZD8055,LGK974,CaR-1,0
Sapitinib,Trametinib,LS-513,0
Trametinib,Lapatinib,PANC-08-13,0
AZD8055,BMS-754807,HT-115,0
Bortezomib,Sapitinib,EFM-19,0
Temozolomide,Alisertib,EFM-192A,0
Lapatinib,Temozolomide,MDA-MB-175-VII,0
AZD7762,BMS-754807,RKO,0
Temozolomide,AZD8055,HCC70,0
MK-1775,Sapitinib,T84,0
Palbociclib,Camptothecin,SNU-C5,0
AZD7762,Sorafenib,PL4,0
Lapatinib,SB216763,HCC2157,0
Navitoclax,KU-55933,EFM-192A,0
Crizotinib,Afatinib,HCC1569,0
PD173074,Navitoclax,EFM-192A,0
Crizotinib,Pictilisib,HCC1500,0
Sorafenib,OSI-027,HPAC,0
Docetaxel,JQ1,BT-20,0
Temozolomide,RO-3306,MDA-MB-436,0
AZD7762,BMS-754807,SNU-C2B,0
Paclitaxel,OSI-027,MIA-PaCa-2,0
Pictilisib,Olaparib,T47D,0
Palbociclib,Dasatinib,PANC-08-13,0
Trametinib,Paclitaxel,HDQ-P1,0
OSI-027,PF-4708671,HCC1569,0
Sapitinib,Ribociclib,HCC1954,0
Olaparib,Taselisib,HCC1937,0
Lapatinib,Trametinib,KP-1N,0
Olaparib,SB505124,HT-115,0
Temozolomide,Olaparib,MDA-MB-468,0
Vorinostat,Sapitinib,BT-474,0
Navitoclax,Camptothecin,MDA-MB-157,0
Pictilisib,PD173074,EFM-192A,0
Navitoclax,Afatinib,HCC38,1
Sapitinib,AZD6482,JIMT-1,0
Sapitinib,AZD6482,BT-483,0
Lapatinib,AZD6482,HCC70,0
AZD8055,Camptothecin,SNU-175,0
Lapatinib,Nilotinib,HCC1428,0
Crizotinib,OSI-027,PA-TU-8902,0
AZD7762,SB216763,HCC1187,0
Temozolomide,MK-1775,HCC38,0
SB505124,MK-1775,DiFi,0
Taselisib,Venetoclax,JIMT-1,0
Dabrafenib,AZD4547,HT-29,0
Palbociclib,PF-4708671,EVSA-T,0
OSI-027,Bortezomib,ZR-75-30,0
Docetaxel,Camptothecin,MDA-MB-330,0
SB216763,Dabrafenib,SW48,0
Docetaxel,AZD7762,HCC1428,0
AZD7762,Olaparib,SW620,0
Vorinostat,Trametinib,CAL-51,0
Trametinib,Paclitaxel,KP-3,0
PD173074,Afatinib,HCC1187,0
Navitoclax,Taselisib,CaR-1,0
Afatinib,Palbociclib,NCI-H716,0
PD173074,AZD8055,CAL-51,1
Pictilisib,RO-3306,HCC2157,0
Trametinib,NU7441,HDQ-P1,0
BMS-754807,MK-1775,KM12,0
Navitoclax,PF-4708671,ZR-75-30,0
Crizotinib,Olaparib,AU565,0
Lapatinib,AZD7762,HCC1599,0
Crizotinib,LGK974,NCI-H747,0
BMS-754807,Olaparib,CL-11,0
Dactolisib,OSI-027,HuP-T4,0
MK-1775,Irinotecan,PL4,0
MK-1775,Irinotecan,SUIT-2,0
Trametinib,Bortezomib,HCC1599,0
MK-1775,JQ1,CAL-148,0
Bortezomib,KU-55933,HCC2157,0
Crizotinib,Olaparib,RKO,0
Bortezomib,Sapitinib,MDA-MB-330,0
AZD4547,Taselisib,NCI-H747,0
Olaparib,Sorafenib,Hs-578-T,0
Trametinib,Olaparib,SW948,0
MK-1775,NU7441,HCC1500,0
Erlotinib,Sorafenib,Hs-766T,0
Trametinib,SB216763,HCT-116,0
PD173074,Trametinib,OCUB-M,0
Sapitinib,SB216763,MDA-MB-231,0
MK-1775,AZD8055,MFM-223,0
Olaparib,Pictilisib,Hs-578-T,0
Crizotinib,PD173074,HCC1428,0
Crizotinib,LGK974,LS-123,0
Taselisib,Irinotecan,DAN-G,0
PD173074,Vorinostat,EFM-19,0
Taselisib,Galunisertib,PSN1,0
AZD7762,JQ1,HCC38,0
AZD4547,Olaparib,COLO-205,0
Navitoclax,Venetoclax,ZR-75-1,0
Trametinib,Camptothecin,MDA-MB-231,0
MK-1775,Sapitinib,HCC2157,0
Sapitinib,Dabrafenib,SW1417,1
Taselisib,AZD8055,COLO-320-HSR,0
OSI-027,Crizotinib,MZ1-PC,0
MK-1775,Crizotinib,HCC1500,0
OSI-027,ZM447439,EFM-19,1
OSI-027,ZM447439,MDA-MB-157,0
Sorafenib,MK-1775,YAPC,0
OSI-027,Alpelisib,T47D,0
Sapitinib,Olaparib,EFM-19,0
Crizotinib,AZD6482,Hs-578-T,0
Bortezomib,Dabrafenib,MDA-MB-415,0
Navitoclax,Afatinib,RCM-1,0
AZD7762,Dabrafenib,NCI-H508,0
Trametinib,Camptothecin,HCC1395,0
Temozolomide,Vorinostat,T47D,0
Dabrafenib,AZD7762,C2BBe1,0
Trametinib,Crizotinib,HCC1806,0
PD173074,PF-4708671,BT-549,0
Trametinib,Alisertib,COLO-824,0
Trametinib,Nilotinib,HCC1143,0
Olaparib,Docetaxel,HCC1937,0
PD173074,Alisertib,CAL-85-1,0
Taselisib,Trametinib,SNU-C5,0
Sapitinib,Olaparib,HCC1569,0
SB505124,AZD8055,LS-513,0
Taselisib,AZD6482,MDA-MB-361,0
PD173074,Afatinib,HCC1419,0
Trametinib,SB505124,SW1463,0
Docetaxel,Ribociclib,HCC1500,0
Navitoclax,Taselisib,HT-115,1
AZD7762,SB216763,BT-20,0
Palbociclib,AZD8055,HCC1187,0
Trametinib,NU7441,HCC1806,0
AZD7762,Pictilisib,HCC1937,0
Vorinostat,Taselisib,HCC70,0
Trametinib,PF-4708671,CAL-85-1,0
Galunisertib,Crizotinib,HuP-T4,0
BMS-754807,Trametinib,SNU-1040,0
Navitoclax,Galunisertib,PANC-03-27,0
Docetaxel,ZM447439,UACC-893,0
BMS-754807,LGK974,NCI-H747,0
Pictilisib,KU-55933,EFM-192A,0
Afatinib,LGK974,HCT-116,0
Crizotinib,SB505124,SW837,0
Palbociclib,Dasatinib,PA-TU-8988T,0
Sapitinib,Navitoclax,MFM-223,0
PD173074,Wee1 Inhibitor,AU565,0
AZD7762,Tozasertib,T47D,0
Olaparib,AZD7762,MDA-MB-175-VII,0
Navitoclax,PF-4708671,BT-549,0
Olaparib,Palbociclib,BxPC-3,0
SB505124,MK-1775,KM12,0
OSI-027,PF-4708671,T47D,0
AZD7762,Taselisib,MDST8,0
Docetaxel,Afatinib,T47D,0
LGK974,Erlotinib,PANC-04-03,0
Docetaxel,Tozasertib,HCC1806,0
MK-1775,Sapitinib,SW1463,0
AZD7762,Afatinib,MDA-MB-468,0
Navitoclax,Trametinib,HPAC,0
LGK974,Sorafenib,CAPAN-2,1
Palbociclib,Nilotinib,BT-549,0
Crizotinib,Camptothecin,Hs-578-T,0
Irinotecan,Crizotinib,CAPAN-2,0
Taselisib,MK-1775,HCC1599,0
LGK974,Galunisertib,HPAC,0
MK-1775,Trametinib,SNU-175,1
AZD7762,NU7441,HCC2218,0
Lapatinib,Camptothecin,EVSA-T,1
Sorafenib,AZD7762,PANC-04-03,0
Erlotinib,Palbociclib,PANC-02-03,0
Camptothecin,Olaparib,SW948,0
Palbociclib,Vorinostat,CAL-85-1,0
Olaparib,Trametinib,KP-4,0
OSI-027,Afatinib,HCC1500,0
PD173074,Sorafenib,HCC70,0
Dabrafenib,Afatinib,T84,0
Docetaxel,KU-55933,Hs-578-T,0
Bortezomib,KU-55933,HCC2218,0
Olaparib,Tozasertib,HCC1428,0
Lapatinib,Trametinib,MDA-MB-468,0
Vorinostat,JQ1,HCC1599,0
LGK974,Navitoclax,SW837,0
Galunisertib,OSI-027,PANC-10-05,0
Dactolisib,Irinotecan,PSN1,0
MK-1775,Venetoclax,CAL-148,0
PD173074,Navitoclax,CAL-120,0
Erlotinib,OSI-027,CAPAN-1,0
Lapatinib,OSI-027,EFM-19,0
LGK974,Dactolisib,HPAC,0
Trametinib,AZD7762,SW1463,1
AZD8055,SB505124,NCI-H508,0
BMS-754807,Camptothecin,SNU-81,0
OSI-027,AZD7762,BT-483,0
Vorinostat,PD173074,MDA-MB-157,0
Lapatinib,Afatinib,HDQ-P1,0
AZD8055,SB216763,SW1116,0
OSI-027,Galunisertib,PA-TU-8902,0
Docetaxel,BI-2536,EVSA-T,0
Sapitinib,AZD4547,CL-11,0
MK-1775,Olaparib,EFM-19,0
Crizotinib,Tozasertib,CAL-148,0
Olaparib,BMS-754807,SNU-81,0
Docetaxel,Venetoclax,HCC1599,0
LGK974,Navitoclax,HPAC,0
Dasatinib,AZD7762,PANC-08-13,0
Navitoclax,AZD6482,MRK-nu-1,0
Navitoclax,Afatinib,HT-115,1
BMS-754807,SB216763,LS-123,0
OSI-027,NU7441,MCF7,0
Vorinostat,Venetoclax,HCC1569,0
Vorinostat,Alpelisib,HCC1428,0
Galunisertib,Paclitaxel,PANC-03-27,0
Sapitinib,Venetoclax,HCC1187,0
SB505124,AZD7762,SW620,0
Crizotinib,Palbociclib,HCC1395,0
Crizotinib,Wee1 Inhibitor,BT-483,0
AZD7762,Palbociclib,BT-20,0
PD173074,Venetoclax,HCC1395,0
MK-1775,SB505124,CCK-81,0
Crizotinib,Pictilisib,HCC70,0
PD173074,OSI-027,BT-483,0
Palbociclib,MK-1775,SW1417,0
OSI-027,MK-1775,BT-483,0
Lapatinib,MK-1775,BT-474,0
AZD7762,OSI-027,PANC-08-13,0
Taselisib,Dabrafenib,HCC38,0
Trametinib,AZD4547,SW1116,0
PD173074,Tozasertib,AU565,0
Olaparib,Pictilisib,ZR-75-30,0
Dasatinib,OSI-027,HPAC,0
Erlotinib,Olaparib,KP-2,0
Vorinostat,Navitoclax,MFM-223,0
AZD7762,Taselisib,CAL-85-1,0
SB216763,Olaparib,SW620,0
Taselisib,Vorinostat,CAL-51,0
Dasatinib,MK-1775,MZ1-PC,0
Palbociclib,Sapitinib,HCC2998,0
Camptothecin,Afatinib,COLO-320-HSR,0
Crizotinib,AZD8055,HCC2998,0
Erlotinib,Dasatinib,KP-4,0
Navitoclax,Alpelisib,BT-483,1
Palbociclib,BMS-754807,CL-11,0
MK-1775,AZD7762,MCF7,0
Crizotinib,Camptothecin,HCC1599,0
Crizotinib,Alisertib,HCC1419,0
Camptothecin,AZD8055,LS-123,0
Lapatinib,AZD7762,HCC1187,0
Olaparib,Alisertib,HCC1569,0
Vorinostat,Afatinib,HCC1954,0
AZD7762,OSI-027,PANC-03-27,0
Docetaxel,Crizotinib,COLO-824,0
Navitoclax,Vorinostat,MDA-MB-453,0
Taselisib,Palbociclib,SW948,0
OSI-027,Sapitinib,MCF7,0
Olaparib,AZD7762,PA-TU-8902,0
Olaparib,AZD4547,CaR-1,0
MK-1775,Crizotinib,CFPAC-1,0
AZD7762,OSI-027,SU8686,0
BMS-754807,Trametinib,CaR-1,1
Lapatinib,Taselisib,HCC1419,0
Crizotinib,Venetoclax,ZR-75-30,0
Trametinib,Wee1 Inhibitor,HCC1569,0
PD173074,Tozasertib,MDA-MB-231,0
Navitoclax,BI-2536,HCC38,1
Temozolomide,KU-55933,JIMT-1,0
Taselisib,Sorafenib,HuP-T3,0
Olaparib,SB216763,HT-115,0
LGK974,Lapatinib,AsPC-1,0
MK-1775,Olaparib,NCI-H716,0
AZD7762,PF-4708671,MDA-MB-231,0
Irinotecan,OSI-027,KP-1N,0
Sorafenib,Trametinib,PANC-10-05,0
Taselisib,Crizotinib,GP5d,0
Olaparib,AZD7762,UACC-812,0
OSI-027,Navitoclax,HCC2218,0
Pictilisib,Docetaxel,MRK-nu-1,0
Lapatinib,Dabrafenib,CAL-51,0
Olaparib,BI-2536,BT-474,0
Bortezomib,Palbociclib,MDA-MB-436,0
OSI-027,Sorafenib,HuP-T3,0
Taselisib,Trametinib,HCC1806,0
Trametinib,Pictilisib,CAL-51,0
Docetaxel,Taselisib,HDQ-P1,0
Trametinib,AZD7762,DU-4475,0
Trametinib,Tozasertib,MDA-MB-468,0
Camptothecin,Sapitinib,LoVo,0
Navitoclax,AZD4547,SW620,0
PD173074,OSI-027,HCC1143,0
Palbociclib,SB216763,COLO-205,0
LGK974,AZD7762,HCT-15,0
Sorafenib,Taselisib,MZ1-PC,0
Trametinib,Alpelisib,BT-549,0
Crizotinib,Irinotecan,PANC-03-27,0
Camptothecin,Afatinib,NCI-H508,0
Palbociclib,Vorinostat,BT-483,0
Temozolomide,Palbociclib,HDQ-P1,0
Olaparib,Afatinib,ZR-75-1,0
MK-1775,Navitoclax,SW1990,1
Temozolomide,AZD7762,CAL-85-1,0
SB505124,Taselisib,COLO-320-HSR,0
Vorinostat,PD173074,ZR-75-1,0
Crizotinib,Venetoclax,HCC1500,0
Palbociclib,PF-4708671,AU565,0
BMS-754807,SB505124,CaR-1,0
LGK974,Erlotinib,PL4,0
Olaparib,SB216763,HCC1954,0
Camptothecin,Navitoclax,LS-513,1
Irinotecan,LGK974,CAPAN-2,0
Dactolisib,Dasatinib,CFPAC-1,1
BMS-754807,SB216763,SW620,0
Pictilisib,SB216763,BT-474,0
Erlotinib,Palbociclib,HuP-T4,0
Docetaxel,Camptothecin,OCUB-M,0
Navitoclax,Crizotinib,SW837,1
Lapatinib,Camptothecin,HCC1954,0
AZD4547,AZD8055,HT55,0
Vorinostat,JQ1,HCC70,1
AZD4547,SB216763,NCI-H747,0
Crizotinib,Erlotinib,PA-TU-8988T,0
AZD7762,Palbociclib,SW1116,0
Palbociclib,ZM447439,HCC2157,0
Temozolomide,MK-1775,CAMA-1,0
PD173074,AZD8055,BT-474,0
Lapatinib,Docetaxel,UACC-893,0
Taselisib,Olaparib,COLO-678,0
Vorinostat,Uprosertib,HCC1569,0
Olaparib,Lapatinib,CAL-148,0
Bortezomib,RO-3306,HCC2157,0
OSI-027,JQ1,ZR-75-30,0
SB216763,SB505124,SNU-C1,0
Paclitaxel,OSI-027,PANC-08-13,0
AZD7762,Erlotinib,Hs-766T,0
Dasatinib,Olaparib,YAPC,0
Docetaxel,AZD6482,HCC2157,0
Vorinostat,Uprosertib,MDA-MB-436,0
Dasatinib,Palbociclib,KP-4,0
Sapitinib,Navitoclax,HCC1599,0
Pictilisib,Ribociclib,CAL-148,0
Dabrafenib,MK-1775,SNU-C5,0
PD173074,Olaparib,MFM-223,0
Pictilisib,Venetoclax,CAL-120,0
Crizotinib,Wee1 Inhibitor,MDA-MB-436,0
Galunisertib,Taselisib,AsPC-1,0
Pictilisib,KU-55933,HCC2157,0
Olaparib,BI-2536,BT-20,0
Trametinib,Palbociclib,SW1463,0
Sapitinib,Palbociclib,SW620,0
Sapitinib,Crizotinib,AU565,0
Temozolomide,AZD6482,HCC1187,0
Lapatinib,MK-1775,HCC1599,0
Navitoclax,Taselisib,KM12,0
AZD7762,Taselisib,CFPAC-1,0
Olaparib,Trametinib,SNU-1040,0
AZD4547,AZD8055,SK-CO-1,0
BMS-754807,Taselisib,HCT-116,0
OSI-027,Camptothecin,MCF7,0
Afatinib,BMS-754807,SW1417,0
Taselisib,Doramapimod,ZR-75-1,0
Crizotinib,RO-3306,HCC2157,0
Navitoclax,Nilotinib,HCC1937,0
Navitoclax,Lapatinib,HCC1428,0
AZD7762,BI-2536,HCC1569,0
Pictilisib,AZD6482,OCUB-M,1
Vorinostat,Trametinib,CAL-148,1
AZD7762,Camptothecin,HDQ-P1,1
OSI-027,Trametinib,CAL-85-1,1
Palbociclib,LGK974,MDST8,0
Taselisib,AZD8055,DU-4475,0
Dabrafenib,AZD7762,HT-115,0
Paclitaxel,Olaparib,PANC-03-27,0
OSI-027,Uprosertib,HCC1937,0
BMS-754807,LGK974,NCI-H508,0
AZD4547,Olaparib,HT-115,0
Palbociclib,Taselisib,HCC2157,1
Vorinostat,Uprosertib,CAL-120,0
Navitoclax,AZD7762,SW1417,1
Sapitinib,BMS-754807,SW48,0
Pictilisib,Nilotinib,HCC38,0
AZD4547,Palbociclib,NCI-H716,0
Pictilisib,PD173074,HCC70,1
Sapitinib,Ribociclib,HCC1569,0
Camptothecin,Crizotinib,SW48,0
Crizotinib,Palbociclib,RKO,0
Docetaxel,Taselisib,HCC1428,0
Temozolomide,KU-55933,HCC2218,0
MK-1775,Olaparib,SW948,0
Sapitinib,Venetoclax,JIMT-1,0
Navitoclax,Taselisib,T47D,0
MK-1775,Crizotinib,HCC1599,0
Temozolomide,NU7441,MDA-MB-231,0
MK-1775,Paclitaxel,DAN-G,0
Taselisib,PD173074,AU565,0
Dabrafenib,Camptothecin,SW948,0
Sorafenib,Palbociclib,SW1990,0
Crizotinib,Vorinostat,BT-474,0
SB505124,AZD4547,SNU-C2B,0
OSI-027,ZM447439,DU-4475,0
Pictilisib,Afatinib,CAL-148,0
Olaparib,Erlotinib,PSN1,0
Crizotinib,OSI-027,PANC-02-03,0
Trametinib,Lapatinib,HCC38,0
Pictilisib,Doramapimod,MDA-MB-468,0
Vorinostat,Alpelisib,HCC1187,0
Bortezomib,Lapatinib,HCC1187,1
Bortezomib,Ribociclib,BT-483,0
MK-1775,Navitoclax,DiFi,0
Trametinib,Vorinostat,HCC1143,0
MK-1775,OSI-027,HCC2157,0
AZD7762,Palbociclib,COLO-320-HSR,0
Temozolomide,Sapitinib,BT-20,0
Taselisib,Doramapimod,HCC70,0
Vorinostat,BI-2536,AU565,0
Trametinib,MK-1775,SUIT-2,0
PD173074,Alisertib,BT-483,0
Paclitaxel,Taselisib,MZ1-PC,0
PD173074,Tozasertib,MDA-MB-157,0
AZD7762,MK-1775,MDA-MB-231,0
MK-1775,BI-2536,MDA-MB-361,0
Navitoclax,Crizotinib,PANC-10-05,1
Trametinib,Camptothecin,BT-483,0
Vorinostat,Nilotinib,BT-474,0
AZD7762,PF-4708671,HDQ-P1,0
Olaparib,Afatinib,HCC1143,0
Palbociclib,AZD8055,EFM-192A,0
OSI-027,Lapatinib,HCC2157,0
AZD8055,SB505124,HT-115,0
Sorafenib,Galunisertib,KP-4,0
PD173074,Wee1 Inhibitor,Hs-578-T,0
Vorinostat,Venetoclax,HDQ-P1,0
Palbociclib,OSI-027,EFM-19,0
LGK974,Navitoclax,NCI-H747,0
PD173074,Vorinostat,HCC1806,0
Bortezomib,Docetaxel,BT-20,0
Palbociclib,Afatinib,SW1463,0
Palbociclib,Venetoclax,CAL-85-1,0
MK-1775,AZD7762,COLO-824,0
Crizotinib,Lapatinib,EFM-192A,0
MK-1775,Palbociclib,SW1463,0
Temozolomide,Alisertib,DU-4475,1
Taselisib,AZD7762,HCC202,0
Trametinib,Paclitaxel,ZR-75-30,0
Irinotecan,Dactolisib,PSN1,0
Palbociclib,PF-4708671,CAMA-1,0
Sapitinib,NU7441,MCF7,0
Bortezomib,ZM447439,OCUB-M,0
OSI-027,AZD7762,MCF7,0
Bortezomib,AZD8055,AU565,0
Vorinostat,SB216763,MDA-MB-436,0
Docetaxel,Lapatinib,MFM-223,0
Palbociclib,Ribociclib,CAL-51,0
Taselisib,Camptothecin,HT-115,0
Docetaxel,RO-3306,MRK-nu-1,0
Temozolomide,Navitoclax,CAL-120,0
MK-1775,Sorafenib,HCC1500,0
Galunisertib,Paclitaxel,PANC-10-05,0
Dactolisib,Paclitaxel,PSN1,0
Sorafenib,Palbociclib,KP-2,0
Paclitaxel,Erlotinib,Hs-766T,0
PD173074,Pictilisib,MDA-MB-330,0
Sapitinib,Ribociclib,HCC1395,0
OSI-027,Taselisib,KP-4,0
Sorafenib,AZD7762,PSN1,0
AZD7762,AZD4547,SNU-1040,0
SB216763,Crizotinib,MDST8,0
Vorinostat,Venetoclax,MDA-MB-436,0
MK-1775,Tozasertib,HCC1937,0
Pictilisib,Lapatinib,CAL-51,0
Pictilisib,Dabrafenib,MDA-MB-453,0
Palbociclib,Taselisib,Hs-578-T,0
MK-1775,Afatinib,NCI-H747,0
Docetaxel,Sorafenib,MDA-MB-157,0
Olaparib,MK-1775,HCC1954,0
Crizotinib,AZD7762,MDA-MB-175-VII,0
Palbociclib,SB505124,SW948,0
PD173074,Crizotinib,HCC1500,1
Trametinib,Crizotinib,PA-TU-8988T,1
Sorafenib,Lapatinib,MZ1-PC,0
PD173074,OSI-027,CAL-148,0
Pictilisib,Palbociclib,EFM-19,0
Sapitinib,Venetoclax,MDA-MB-415,0
Irinotecan,Paclitaxel,MIA-PaCa-2,0
AZD4547,MK-1775,DiFi,0
Temozolomide,Lapatinib,CAL-148,0
Trametinib,Wee1 Inhibitor,EFM-19,0
AZD4547,Sapitinib,RCM-1,0
MK-1775,Temozolomide,MDA-MB-231,0
BMS-754807,AZD7762,NCI-H716,0
Galunisertib,Sorafenib,HuP-T4,0
OSI-027,MK-1775,EFM-192A,0
MK-1775,Navitoclax,HCT-15,0
AZD7762,LGK974,HuP-T4,0
Sapitinib,Taselisib,HT-29,0
Navitoclax,Sorafenib,HuP-T4,1
Dactolisib,Dasatinib,PANC-10-05,0
AZD7762,SB505124,CL-11,0
Trametinib,AZD7762,BT-20,0
Crizotinib,AZD8055,MFM-223,0
Paclitaxel,Trametinib,YAPC,0
Taselisib,Navitoclax,AU565,0
MK-1775,Paclitaxel,PANC-03-27,0
Sapitinib,SB216763,MFM-223,0
Bortezomib,RO-3306,MDA-MB-453,0
Dactolisib,MK-1775,YAPC,0
Dasatinib,Galunisertib,YAPC,0
Trametinib,PF-4708671,MFM-223,0
Lapatinib,Paclitaxel,PA-TU-8902,0
MK-1775,Docetaxel,UACC-812,0
AZD7762,Vorinostat,Hs-578-T,0
Vorinostat,AZD7762,HCC1599,0
Trametinib,PD173074,HCC1143,1
Crizotinib,Venetoclax,HCC1599,0
OSI-027,Afatinib,MRK-nu-1,0
PD173074,Uprosertib,T47D,0
Lapatinib,AZD7762,MDA-MB-330,0
Taselisib,AZD7762,COLO-678,0
Navitoclax,BMS-754807,SNU-C1,0
Sapitinib,KU-55933,OCUB-M,0
OSI-027,Alpelisib,MDA-MB-157,0
OSI-027,Afatinib,MFM-223,0
Taselisib,AZD7762,UACC-893,0
Crizotinib,BMS-754807,SW1116,0
Trametinib,OSI-027,COLO-824,0
OSI-027,Alisertib,HDQ-P1,0
AZD8055,Navitoclax,SW48,0
Docetaxel,Dabrafenib,HDQ-P1,0
Trametinib,MK-1775,T47D,0
Taselisib,ZM447439,MFM-223,0
MK-1775,Crizotinib,NCI-H716,0
Taselisib,AZD7762,HT-115,0
Taselisib,MK-1775,PA-TU-8988T,0
Taselisib,Alisertib,MDA-MB-175-VII,0
AZD8055,AZD7762,SW48,0
Afatinib,SB505124,SNU-1040,0
SB216763,Crizotinib,HT-29,0
Crizotinib,SB216763,HCC1599,0
Camptothecin,Sapitinib,NCI-H716,0
Palbociclib,Sorafenib,CAPAN-2,0
Trametinib,Palbociclib,DAN-G,0
Olaparib,Docetaxel,CAMA-1,0
AZD7762,Vorinostat,MDA-MB-157,0
Olaparib,BMS-754807,SW837,0
Sapitinib,Trametinib,COLO-320-HSR,0
Dabrafenib,Sapitinib,HT-115,0
Trametinib,AZD4547,SW48,0
Sorafenib,Dasatinib,DAN-G,1
Vorinostat,Uprosertib,MDA-MB-157,0
Sapitinib,Temozolomide,HCC1143,0
Taselisib,PF-4708671,HCC38,0
PD173074,Alisertib,DU-4475,0
Taselisib,AZD7762,HCC1428,0
Dabrafenib,MK-1775,SW48,0
AZD7762,BMS-754807,COLO-678,0
Trametinib,OSI-027,PSN1,0
Trametinib,Bortezomib,BT-483,0
Bortezomib,AZD7762,EFM-192A,0
Docetaxel,Camptothecin,MDA-MB-468,0
Navitoclax,JQ1,HCC2218,0
Navitoclax,Lapatinib,HCC70,1
Trametinib,Navitoclax,HCC1500,0
Trametinib,SB216763,LS-123,0
Trametinib,Venetoclax,CAL-51,0
Palbociclib,SB216763,BT-549,0
Crizotinib,Vorinostat,HCC1500,0
BMS-754807,Trametinib,LS-180,0
AZD7762,AZD4547,SNU-C5,0
LGK974,Crizotinib,LS-180,0
Palbociclib,Dabrafenib,SW620,0
Navitoclax,Sapitinib,HCT-15,0
Navitoclax,Lapatinib,CAL-51,0
PD173074,AZD6482,ZR-75-30,0
AZD7762,AZD6482,DU-4475,0
Trametinib,Camptothecin,BT-20,0
